"公司代號","公司名稱","產業別","基本每股盈餘(元)","普通股每股面額","營業收入","營業利益","營業外收入及支出","稅後淨利",
"1704","李長榮化學工業股份有限公司","化學工業","3.32","新台幣                 10.0000元","34130779.00","2896510.00","432782.00","2891568.00",
"1707","葡萄王生技股份有限公司","生技醫療業","6.75","新台幣                 10.0000元","6601747.00","1496609.00","138521.00","1301520.00",
"1708","東鹼股份有限公司","化學工業","1.77","新台幣                 10.0000元","2915883.00","412033.00","36449.00","356480.00",
"1709","和益化學工業股份有限公司","化學工業","1.13","新台幣                 10.0000元","6555466.00","713567.00","-8204.00","566687.00",
"1710","東聯化學股份有限公司","化學工業","1.68","新台幣                 10.0000元","21982626.00","2815567.00","-337174.00","1984395.00",
"1711","臺灣永光化學工業股份有限公司","化學工業","0.47","新台幣                 10.0000元","6802408.00","251521.00","84016.00","260020.00",
"1712","興農股份有限公司","化學工業","1.30","新台幣                 10.0000元","12873796.00","686792.00","-65239.00","489935.00",
"1713","國泰化工廠股份有限公司","化學工業","0.38","新台幣                 10.0000元","484353.00","32604.00","30348.00","57867.00",
"1714","和桐化學股份有限公司","化學工業","0.36","新台幣                 10.0000元","23577353.00","479676.00","19997.00","436364.00",
"1717","長興材料工業股份有限公司","化學工業","1.07","新台幣                 10.0000元","30410402.00","1361661.00","98996.00","1193823.00",
"1718","中國人造纖維股份有限公司","化學工業","0.48","新台幣                 10.0000元","27412572.00","--","--","2501614.00",
"1720","生達化學製藥股份有限公司","生技醫療業","1.76","新台幣                 10.0000元","2942863.00","443307.00","30123.00","373825.00",
"1721","三晃股份有限公司","化學工業","0.20","新台幣                 10.0000元","2512008.00","75688.00","-34398.00","42994.00",
"1722","台灣肥料股份有限公司","化學工業","1.37","新台幣                 10.0000元","8862484.00","1029026.00","605872.00","1339867.00",
"1723","中鋼碳素化學股份有限公司","化學工業","3.61","新台幣                 10.0000元","4765131.00","910023.00","71942.00","868129.00",
